sample_id,class_label,N,V,P,A,D,J,R,X,T,C,I
dactyl_8,dactyl,1.974271110798402,-0.7136064453228478,-2.3511803144749805,1.1759408904684547,-0.4063730149926128,-0.34433395370749015,0.7945952911943842,0.8230750301075835,-1.0397146307049725,-0.6923032115787084,-1.863758657589484
dactyl_9,dactyl,0.42132194990353417,0.7633389046144087,0.6864120378236778,-0.09181121077237273,-0.12297334392122808,-1.1551292012701895,0.25918317116665684,-0.8983745949127424,0.8140329921135145,0.6358120940566754,-0.5857861095826978
dactyl_10,dactyl,0.016754949147320803,1.0657143381074026,1.3482142012148781,-1.2967350445060213,-0.345429081556438,-1.2219541783910157,1.5772524518397557,0.2768084834217164,-0.6145824923032411,-0.49811256766167944,-1.022815838220736
dactyl_11,dactyl,0.9822906451604508,1.3217912599763029,0.015617176947756009,-0.03870470608480952,-1.370260143071421,-1.3064752221433038,1.0862785022406367,0.04340373012562769,-0.6987556310281421,0.3101833423964393,-0.6352929556278953
dactyl_12,dactyl,0.6513186599558737,1.0661733127305066,0.15743250272260154,0.38960101523551394,0.07848191239023612,-1.039634686603375,-0.15419889424798383,-0.6341540567555717,-0.4508298031174286,-0.04914610537330313,-1.6561663668692428
dactyl_13,dactyl,1.2668506525605634,-0.049814485744005085,-1.1473898247129841,0.8793504213731195,-0.4489260076392048,-0.4444037166058599,1.2451560241687878,-0.6012232598729031,-0.7250151663864841,-0.020790125552209243,-1.8632181794246783
dactyl_14,dactyl,1.2333526072103538,0.2982108056972575,-1.0478648503226486,0.5273646444812985,-1.1615895039841435,-0.8010131592941783,2.7107784862490747,-0.7939162631811503,-0.07498734768384756,-0.0011254835143459157,-1.859682732811234
dactyl_15,dactyl,0.4942542489838308,0.9584559061140987,0.1162222268940029,1.2560511119421445,-0.791164735715875,-1.579302733366245,0.5550901372813878,-0.0435925944295714,-0.35593098734333567,0.47494459586551235,-0.5563011469481335
dactyl_16,dactyl,0.00951809892889597,-0.02838946487362351,-0.5614159423849343,1.4454281623728602,-1.0894549240558244,-0.3578581180760604,0.7691705762308161,0.8090370996092089,-1.0499079843622467,0.856310746518951,0.05279871561110675
dactyl_17,dactyl,0.5032725094762378,0.2681631881779603,-0.30162477444570013,0.038992054588772786,0.6970993171462463,-0.6181998267307158,1.1013825204751544,-0.983844017172153,-0.4450103955232414,-1.1523449310573763,-0.8054348134076991
dactyl_18,dactyl,1.299353597537379,1.207412665636729,-2.294185675494578,0.234948860715043,0.2380898949874069,-0.885439099257672,1.345736814589401,-1.3786536407984111,-1.0260430715591213,0.6590262611835702,0.4967152322700475
dactyl_19,dactyl,0.7830813443303876,-0.7307375455591782,-0.5300254897745927,0.5445332668443983,-0.5160808995887655,-0.5924891230614732,1.7422843735770923,0.10509400771283484,-1.5092673792015205,0.1958505589963468,1.338039450094306
dactyl_20,dactyl,0.6118373337396222,0.6617140527118689,-1.9802537045078228,-0.9338151780031976,-0.2074945222080265,0.5935554133436529,0.20168377543531107,0.39257394812593455,-0.10872606532869111,-0.24803934655000737,0.2717621304549831
dactyl_21,dactyl,1.3144490247059608,0.25891180613758946,0.04459619009145955,-0.36241392718555854,-0.5130475745461308,-1.2415103714931364,1.1590232207940858,-0.4821306567818445,-0.5157767916242658,0.5556681735674505,0.21451413269201614
dactyl_22,dactyl,1.5022734441527428,0.26080861457540583,-1.856054998611664,1.468255972542929,-2.6912639953425885,-0.6586464205384763,2.2711862620702847,0.5733632426424462,-0.07286347537663534,3.9616230394240573e-4,-0.5686959600149325
dactyl_23,dactyl,0.7691252113245414,0.7631643179069019,-1.2706569504715548,1.361596923023206,0.6090766686866147,-0.7275186108170089,-0.5304591966879093,-0.7474934333431332,-0.8842006454209193,-0.6923032115787084,-0.15440638169763263
dactyl_24,dactyl,0.8090124942097578,0.948190138733514,-1.7915843946148307,0.8066183711110905,-0.46689622160445815,-0.6714643716367051,1.4286608928643245,-0.30043345155332357,0.22676389919713855,-1.5751621176678177,-0.7881827225687018
dactyl_25,dactyl,-0.2238140204768419,1.6018046112496567,-0.060316292483360866,-0.9507497431696522,0.9456952496976879,-1.396648848887527,1.0715924773819083,-0.11279356228504307,-1.3570207100145713,1.527431969383145,-0.37166951264309595
dactyl_26,dactyl,-1.264505239441698,1.8507753071229363,0.7427521603006079,0.9176335410400485,0.20495429662065845,-0.19119127453671425,-0.7778786354472113,-0.37479536868994145,-1.6072802028673212,-0.9906639671939457,-0.42842401781967376
dactyl_27,dactyl,0.4750078472064557,0.441824203215024,-0.9154983481086844,-0.18335615772743208,0.26035659484928997,-0.8871691432902625,0.7522918644513117,0.44426761966959655,0.6468032281599227,-0.4825535722487098,-0.16426527171168984
dactyl_28,dactyl,0.9858244388554092,0.32870891662512,-2.0052852350660375,1.5054131383158647,0.21606637673037593,-1.1048851963719335,1.3233068726683892,-0.09911681258572862,-0.8788878521657492,-1.3579905690217955,0.27644627704545793
