sample_id,class_label,N,V,P,A,D,J,R,X,T,C,I
dactyl_2_7,dactyl_2,2.9109446074135104,1.2001651608330792,-1.901857777914823,-0.18425762670347223,-1.8631781605606272,-0.8653872855868237,2.4133652436836033,-1.6630491703051566,-1.1900755292512526,-1.1920403677119102,0.29146530091639145
dactyl_2_8,dactyl_2,-0.5636950992290151,2.5372152244536466,2.0102656782941644,-2.612741282993593,-2.868380950903463,-1.0245468905254653,1.800702524561528,1.293271807581898,1.2803623952183376,-1.2218570934225745,1.2780629261714085
dactyl_2_9,dactyl_2,1.4755945783334241,1.1496442478982276,-1.1251927585454624,-1.1070098263522494,-0.8588331922797162,-0.650203598400396,2.3019055487530378,-0.3501209544758439,-0.6770680241658744,-1.9040770664562574,-0.05084519042975904
dactyl_2_10,dactyl_2,1.63337835290968,1.2785139623163968,-1.7481211716968827,0.01611538411019142,-0.49284323193981705,-1.5918741776820204,2.101754568784134,-0.13446086813885538,-1.429564114968628,-1.5400009408194046,0.9932370082920438
dactyl_2_11,dactyl_2,0.6854688792886441,0.3525128082569719,-0.3511112453423457,-0.5801978999035553,-0.3635030183122358,-0.7966814384384695,0.8985591870326043,0.9156226138731389,0.041927680001755736,-0.5044647115914382,-0.41288913404833527
dactyl_2_12,dactyl_2,0.03116419475581203,1.1353552140460634,-1.111532774918708,-0.45294582283872276,0.014813355047377845,-0.3524677378523551,1.7792387680496373,-0.16501024867787614,-0.6955113729132998,-2.622090885258355,1.3105892489895026
dactyl_2_13,dactyl_2,0.7225262302700111,1.643403270724441,0.8989491907704408,0.2727819282277865,-0.911143125455558,-1.7727123865459502,1.115721069764879,-1.1187077471653153,-0.8790916986767916,-0.43732128033141077,-0.36971956655860977
dactyl_2_14,dactyl_2,1.8024543624072862,1.1482824760374708,-0.591185296813605,-1.1410173520809281,-0.9735468404151346,-0.9833029155545854,1.905724276719292,-0.46381533297834787,-1.201004896519903,-1.1987284388060488,0.28409376046362866
dactyl_2_15,dactyl_2,2.9329660921956284,0.717241302370157,-2.510767637633172,1.004004028538761,-1.0606723190810932,-1.9266157363713239,0.6527943354909541,-0.29381316584800776,-0.8701134365835436,1.741120379976859,0.6818135238372677
dactyl_2_16,dactyl_2,-0.5326426958323239,1.3796543928154892,0.4442317360551295,0.1562724440140136,-0.5061134132988073,-1.0656604518188744,2.5648227778341437,-0.7464255336217218,-2.2016809279959966,-1.1853162666051433,1.3334410757899073
